Prueba;a;n;Resultado;OE;Tiempo (ms)
1;11;11;285311670611;36;0,000000
2;5;12;244140625;39;0,000000
3;4;10;1048576;33;0,000000
4;7;10;282475249;33;0,000000
5;15;15;437893890380859392;48;0,000000
6;10;11;100000000000;36;0,000000
7;2;5;32;18;0,000000
8;12;6;2985984;21;0,000000
9;9;3;729;12;0,000000
10;12;12;8916100448256;39;0,000000
11;13;1;13;6;0,000000
12;2;3;8;12;0,000000
13;11;6;1771561;21;0,000000
14;7;2;49;9;0,000000
15;11;11;285311670611;36;0,000000
16;3;13;1594323;42;0,000000
17;14;1;14;6;0,000000
18;2;8;256;27;0,000000
19;10;8;100000000;27;0,000000
20;8;11;8589934592;36;0,000000
21;5;14;6103515625;45;0,000000
22;14;4;38416;15;0,000000
23;6;10;60466176;33;0,000000
24;12;15;15407021574586368;48;0,000000
25;11;7;19487171;24;0,000000
